Name,Method_Name__c,Found_In__c,Unique_Identiier__c,Is Encounter
Method13,Class51.Method13,Class1.Method1,Class1.Method1 | Class51.Method13,#VALUE!
Method14,Class68.Method14,Class24.createSupplementalsWhenPenaltyisWaived,Class24.createSupplementalsWhenPenaltyisWaived | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class54.getRollYears,Class54.getRollYears | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class54.getRPRollYears,Class54.getRPRollYears | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class54.getPIRollYears,Class54.getPIRollYears | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class2.Method9,Class2.Method9 | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class3.clonedValuation,Class3.clonedValuation | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class3.cancelAndReissuePenaltyAssessment,Class3.cancelAndReissuePenaltyAssessment | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class55.getPenalties,Class55.getPenalties | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class13.handleCloneOfAPE,Class13.handleCloneOfAPE | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class13.creationOfApeForDvet,Class13.creationOfApeForDvet | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class14.Method23,Class14.Method23 | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class26.Method24,Class26.Method24 | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class5.createOrUpdateCOR,Class5.createOrUpdateCOR | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class56.validatePropertyRecordId,Class56.validatePropertyRecordId | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class15.Method10,Class15.Method10 | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class57.escapeCreateAssessmentOnHoxRemoval,Class57.escapeCreateAssessmentOnHoxRemoval | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class7.applyPenaltyIfContactEndDatePopulatedOnPe,Class7.applyPenaltyIfContactEndDatePopulatedOnPe | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class7.applyPenalty,Class7.applyPenalty | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class58.Method24,Class58.Method24 | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class59.start,Class59.start | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class60.getAppealStagingRecord,Class60.getAppealStagingRecord | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class60.getAppealPropertyEvent,Class60.getAppealPropertyEvent | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class60.getAppealCases,Class60.getAppealCases | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class60.getProperties,Class60.getProperties | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class9.Method24,Class9.Method24 | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class61.Method24,Class61.Method24 | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class18.start,Class18.start | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class62.identifyAppealedEvent,Class62.identifyAppealedEvent | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class63.identifyEventCategory,Class63.identifyEventCategory | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class64.getDetailsById,Class64.getDetailsById | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class64.preparePropertyEventQuery,Class64.preparePropertyEventQuery | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class65.getDetailsById,Class65.getDetailsById | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class35.redirect,Class35.redirect | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class35.cloningOfAssessmentAndLineItems,Class35.cloningOfAssessmentAndLineItems | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class36.processClonedData,Class36.processClonedData | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class36.processRPClonedData,Class36.processRPClonedData | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class66.getLastYearsReverseTrendedLineItem,Class66.getLastYearsReverseTrendedLineItem | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class37.createClonedAssessmentAndLineItems,Class37.createClonedAssessmentAndLineItems | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class37.createClonedEscapeRollCorrectionAssessmentsAndLineItems,Class37.createClonedEscapeRollCorrectionAssessmentsAndLineItems | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class38.retrieveCaseAndCaseOwnership,Class38.retrieveCaseAndCaseOwnership | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class38.retrieveAssessmentAndLineItems,Class38.retrieveAssessmentAndLineItems | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class38.createEscapeAssessmentAndLineItems,Class38.createEscapeAssessmentAndLineItems | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class38.linkBppAndRp,Class38.linkBppAndRp | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class38.insertCORsForClonedAssessment,Class38.insertCORsForClonedAssessment | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class38.getAPEsForClonedAssessmentForInsert,Class38.getAPEsForClonedAssessmentForInsert | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class38.createAPEforExemptionRemoval,Class38.createAPEforExemptionRemoval | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class39.linkBppAssessmentRelatedToRpAssessment,Class39.linkBppAssessmentRelatedToRpAssessment | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class67.redirect,Class67.redirect | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class68.retrieveStatementAndReportedAssets,Class68.retrieveStatementAndReportedAssets | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class69.getLineItemToStatementComparatorRecords,Class69.getLineItemToStatementComparatorRecords | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class69.getLineItemToLineItemComparatorRecords,Class69.getLineItemToLineItemComparatorRecords | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class69.getStatementToStatementComparatorRecords,Class69.getStatementToStatementComparatorRecords | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class69.getStatementToLineItemComparatorRecords,Class69.getStatementToLineItemComparatorRecords | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class70.prePopulateDefaultValuesOnStatement,Class70.prePopulateDefaultValuesOnStatement | Class68.Method14,#VALUE!
Method14,Class68.Method14,Class42.getEscapesForGeneration,Class42.getEscapesForGeneration | Class68.Method14,#VALUE!
